iter	Passed	Remaining
0	6	2844
1	10	2502
2	15	2372
3	20	2345
4	25	2310
5	29	2278
6	34	2285
7	39	2265
8	44	2243
9	48	2219
10	54	2264
11	59	2259
12	64	2243
13	70	2262
14	75	2250
15	79	2235
16	84	2233
17	89	2227
18	94	2212
19	99	2204
20	103	2197
21	108	2193
22	113	2189
23	118	2182
24	123	2174
25	128	2170
26	133	2164
27	138	2160
28	143	2155
29	148	2149
30	153	2150
31	158	2151
32	163	2140
33	168	2135
34	173	2129
35	178	2129
36	184	2135
37	189	2132
38	196	2143
39	202	2146
40	207	2143
41	212	2141
42	218	2145
43	224	2145
44	229	2138
45	234	2131
46	240	2135
47	245	2129
48	250	2128
49	255	2122
50	260	2114
51	265	2107
52	271	2108
53	277	2112
54	284	2119
55	290	2118
56	296	2121
57	302	2122
58	307	2114
59	313	2113
60	319	2113
61	323	2105
62	329	2101
63	335	2103
64	340	2096
65	345	2089
66	350	2084
67	355	2076
68	361	2073
69	367	2072
70	372	2067
71	377	2061
72	383	2058
73	388	2051
74	393	2044
75	398	2037
76	403	2032
77	408	2026
78	413	2018
79	418	2012
80	423	2006
81	427	1998
82	433	1993
83	437	1986
84	442	1979
85	447	1972
86	453	1969
87	459	1966
88	465	1967
89	473	1974
90	478	1968
91	485	1967
92	490	1962
93	495	1956
94	501	1954
95	506	1947
96	511	1939
97	517	1936
98	521	1929
99	526	1922
100	532	1920
101	537	1914
102	542	1908
103	548	1904
104	553	1898
105	558	1892
106	563	1886
107	568	1880
108	574	1875
109	579	1868
110	585	1866
111	590	1860
112	595	1853
113	600	1850
114	605	1843
115	611	1840
116	622	1852
117	630	1853
118	635	1848
119	641	1843
120	646	1839
121	652	1834
122	658	1830
123	664	1826
124	669	1820
125	674	1815
126	684	1821
127	689	1815
128	695	1810
129	702	1809
130	706	1802
131	711	1795
132	717	1791
133	722	1785
134	728	1780
135	733	1774
136	738	1768
137	743	1761
138	749	1756
139	753	1750
140	758	1743
141	764	1738
142	768	1731
143	773	1725
144	779	1721
145	784	1714
146	789	1708
147	796	1705
148	800	1698
149	805	1692
150	811	1687
151	816	1681
152	821	1674
153	826	1668
154	831	1662
155	836	1656
156	841	1649
157	846	1644
158	851	1638
159	856	1632
160	861	1626
161	866	1620
162	871	1614
163	876	1608
164	881	1603
165	886	1597
166	891	1590
167	896	1584
168	901	1578
169	906	1572
170	911	1567
171	916	1561
172	921	1555
173	926	1550
174	932	1544
175	936	1538
176	941	1532
177	946	1526
178	951	1520
179	956	1513
180	961	1508
181	966	1502
182	970	1495
183	975	1489
184	981	1485
185	986	1479
186	991	1473
187	996	1468
188	1001	1462
189	1006	1456
190	1011	1451
191	1016	1444
192	1020	1438
193	1025	1432
194	1030	1427
195	1035	1420
196	1040	1415
197	1045	1410
198	1050	1404
199	1055	1398
200	1060	1393
201	1066	1388
202	1070	1382
203	1076	1377
204	1081	1371
205	1086	1365
206	1091	1360
207	1096	1355
208	1101	1349
209	1107	1344
210	1112	1339
211	1117	1334
212	1123	1328
213	1129	1324
214	1134	1318
215	1139	1313
216	1144	1308
217	1149	1302
218	1154	1296
219	1159	1291
220	1165	1286
221	1170	1280
222	1175	1275
223	1180	1270
224	1186	1265
225	1193	1262
226	1198	1256
227	1203	1251
228	1208	1245
229	1213	1239
230	1218	1234
231	1224	1229
232	1229	1224
233	1234	1218
234	1238	1212
235	1243	1206
236	1248	1201
237	1254	1196
238	1258	1190
239	1264	1185
240	1269	1179
241	1275	1175
242	1280	1169
243	1285	1164
244	1291	1159
245	1296	1154
246	1301	1148
247	1306	1143
248	1311	1137
249	1316	1132
250	1321	1126
251	1326	1121
252	1331	1116
253	1336	1110
254	1342	1105
255	1348	1100
256	1354	1095
257	1360	1091
258	1365	1086
259	1371	1081
260	1377	1076
261	1382	1070
262	1387	1065
263	1393	1061
264	1400	1056
265	1407	1052
266	1412	1047
267	1417	1042
268	1422	1036
269	1428	1031
270	1433	1025
271	1437	1020
272	1442	1014
273	1448	1009
274	1453	1004
275	1459	999
276	1464	993
277	1469	988
278	1475	983
279	1480	978
280	1485	972
281	1492	968
282	1498	963
283	1503	958
284	1508	952
285	1513	947
286	1518	941
287	1523	936
